mese,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,cancellate_tot,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,ruolo,nome_stazione
2024-06,EC,,894,894,0,0,0,0,0,234,442,212,442,280,178,94,34,10336.0,770.0,9566.0,10.772522522522523,4.0,30.0,47.69999999999993,nodo,NOVARA
2024-06,EN,,70,70,0,0,0,0,0,8,56,6,56,44,42,32,16,3610.0,18.0,3592.0,51.31428571428572,22.0,136.00000000000009,214.4999999999997,nodo,NOVARA
2024-06,EXP,,32,32,0,0,0,0,0,4,14,14,14,10,8,6,4,1004.0,162.0,842.0,26.3125,2.0,113.5,197.5,nodo,NOVARA
2024-06,IC,,4482,4482,0,0,0,0,0,1110,2220,1134,2220,1496,1096,586,218,59916.0,5128.0,54788.0,12.273297491039427,4.0,36.90000000000009,59.0,nodo,NOVARA
2024-06,ICN,,690,690,0,0,0,0,0,172,290,228,290,204,148,74,30,8038.0,1578.0,6460.0,9.36231884057971,3.0,30.600000000000023,58.80000000000001,nodo,NOVARA
2024-06,IR,,2,2,0,0,0,0,0,0,2,0,2,2,2,2,0,86.0,0.0,86.0,43.0,43.0,43.0,43.0,nodo,NOVARA
2024-06,MET,,9728,9728,0,0,0,0,0,3826,638,5096,638,286,146,22,4,12522.0,10992.0,1530.0,0.1600418410041841,-1.0,3.0,6.0,nodo,NOVARA
2024-06,NCL,,28,28,0,0,0,0,0,2,2,22,2,2,2,0,0,38.0,576.0,-538.0,-20.692307692307693,-24.0,-0.1999999999999993,7.599999999999973,nodo,NOVARA
2024-06,REG,,313266,313266,0,0,0,0,0,136676,53728,118756,53728,21806,12466,4086,890,918794.0,307082.0,611712.0,1.9786259541984728,1.0,7.0,12.0,nodo,NOVARA
2024-06,,,11504,11504,0,0,0,0,0,2900,5754,2792,5754,3852,2800,1496,606,155176.0,11378.0,143798.0,12.563166171588328,5.0,37.0,63.0,nodo,NOVARA
2024-07,DIR,,4,4,0,0,0,0,0,0,2,2,2,2,2,2,0,76.0,2.0,74.0,18.5,18.5,34.1,36.05,nodo,NOVARA
2024-07,EC,,1234,1234,0,0,0,0,0,224,692,310,692,488,348,176,48,16552.0,1038.0,15514.0,12.65415986949429,6.0,38.80000000000007,54.0,nodo,NOVARA
2024-07,EN,,104,104,0,0,0,0,0,10,80,14,80,64,52,32,18,3180.0,40.0,3140.0,30.192307692307693,15.0,68.6,107.9,nodo,NOVARA
2024-07,EXP,,44,44,0,0,0,0,0,4,18,22,18,14,10,8,2,486.0,320.0,166.0,3.772727272727273,-0.5,32.800000000000004,47.24999999999999,nodo,NOVARA
2024-07,IC,,5828,5828,0,0,0,0,0,1274,3308,1208,3308,2356,1786,966,350,98238.0,5522.0,92716.0,16.01312607944732,6.0,46.0,64.0,nodo,NOVARA
2024-07,ICN,,768,768,0,0,0,0,0,180,346,242,346,246,174,106,48,10868.0,1384.0,9484.0,12.348958333333334,3.0,43.0,67.84999999999997,nodo,NOVARA
2024-07,IR,,14,14,0,0,0,0,0,4,10,0,10,10,6,4,2,360.0,0.0,360.0,25.714285714285715,12.0,60.40000000000002,74.19999999999996,nodo,NOVARA
2024-07,MET,,15130,15130,0,0,0,0,0,6208,830,7712,830,304,172,66,18,18534.0,16520.0,2014.0,0.1365423728813559,-1.0,3.0,5.0,nodo,NOVARA
2024-07,NCL,,22,22,0,0,0,0,0,2,14,6,14,10,8,8,4,538.0,386.0,152.0,6.909090909090909,5.0,62.0,77.0,nodo,NOVARA
2024-07,REG,,434210,434210,0,0,0,0,0,187398,78464,163080,78464,33060,18928,5838,1042,1314254.0,411690.0,902564.0,2.1041632668286154,1.0,8.0,13.0,nodo,NOVARA
2024-07,,,15666,15666,0,0,0,0,0,3614,9008,2984,9008,6366,4884,2426,840,243968.0,13102.0,230866.0,14.793412789952582,6.0,41.0,63.0,nodo,NOVARA
2024-08,DIR,,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,nodo,NOVARA
2024-08,EC,,1174,1174,0,0,0,0,0,270,520,376,520,344,246,122,36,11982.0,1334.0,10648.0,9.132075471698114,3.0,31.0,42.0,nodo,NOVARA
2024-08,EN,,102,102,0,0,0,0,0,20,74,8,74,58,54,42,18,3660.0,18.0,3642.0,35.705882352941174,17.0,81.0,110.5,nodo,NOVARA
2024-08,EXP,,102,102,0,0,0,0,0,20,44,38,44,22,12,6,2,916.0,334.0,582.0,5.705882352941177,3.0,18.0,27.5,nodo,NOVARA
2024-08,IC,,6192,6192,0,0,0,0,0,1412,2916,1850,2916,2058,1512,760,322,83160.0,9448.0,73712.0,11.931369375202332,4.0,37.0,61.0,nodo,NOVARA
2024-08,ICN,,906,906,0,0,0,0,0,218,288,400,288,194,148,70,24,7350.0,2846.0,4504.0,4.97130242825607,0.0,25.0,45.0,nodo,NOVARA
2024-08,IR,,20,20,0,0,0,0,0,2,14,4,14,10,8,4,4,452.0,10.0,442.0,22.1,10.5,67.5,74.24999999999999,nodo,NOVARA
2024-08,MET,,15548,15548,0,0,0,0,0,6378,582,8456,582,196,100,32,2,14000.0,19364.0,-5364.0,-0.3479501816294759,-1.0,2.0,4.0,nodo,NOVARA
2024-08,NCL,,32,32,0,0,0,0,0,0,20,12,20,18,16,14,12,1386.0,318.0,1068.0,33.375,17.0,97.5,128.5,nodo,NOVARA
2024-08,REG,,398694,398694,0,0,0,0,0,173086,52546,171768,52546,21140,12328,4050,864,941530.0,443700.0,497830.0,1.2527176648213387,0.0,6.0,10.0,nodo,NOVARA
2024-08,,,14038,14038,0,0,0,0,0,3762,5902,4360,5902,3828,2680,1244,392,139358.0,22250.0,117108.0,8.350541928123217,3.0,27.0,45.0,nodo,NOVARA
